Lane,Lib,Type,ReadLength,Volume/G,NoneN_Bases,SingleReadsCount,VolumeRatio/%,OnemisRatio/%,QualifiedRatio/%,DiscardRatio/%,GC/%,Q20/%,Q30/%,R1_GC/%,R2_GC/%,R1_Q20/%,R2_Q20/%,R1_Q30/%,R2_Q30/%
1,HUMRNIUKMPEI-509-v109,PE,100,0.33,3.3091e+08,3312448,0.34,5.73,100.00,0.00,48.86,97.21,89.84,48.85,48.86,97.68,96.74,90.98,88.70
1,HUMRNIULBPEI-524-v109,PE,100,2.22,2.2143e+09,22165170,2.27,3.03,100.00,0.00,51.15,96.99,89.39,51.11,51.19,97.58,96.40,90.76,88.03
1,HUMRNIUKYPEI-521-v109,PE,100,0.42,4.1925e+08,4196754,0.43,2.44,100.00,0.00,49.30,97.00,89.35,49.25,49.34,97.45,96.56,90.35,88.34
1,HUMRNIULEPEI-527-v109,PE,100,0.68,6.8163e+08,6823104,0.70,4.17,100.00,0.00,50.28,96.98,89.27,50.21,50.35,97.62,96.33,90.83,87.72
1,HUMRNIUKVPEI-518-v109,PE,100,3.31,3.3044e+09,33078170,3.39,3.66,100.00,0.00,49.04,97.66,91.24,48.98,49.11,97.82,97.49,91.55,90.93
1,HUMRNIULOPEI-537-v109,PE,100,2.03,2.0258e+09,20278616,2.08,1.54,100.00,0.00,48.15,97.28,90.09,48.05,48.24,97.45,97.11,90.36,89.82
1,HUMRNIUKRPEI-514-v109,PE,100,2.55,2.5444e+09,25468640,2.61,2.43,100.00,0.00,48.62,96.83,88.68,48.66,48.59,97.17,96.48,89.46,87.89
1,HUMRNIULRPEI-540-v109,PE,100,3.62,3.6155e+09,36192314,3.71,3.84,100.00,0.00,48.45,96.94,89.08,48.36,48.55,97.54,96.33,90.55,87.61
1,HUMRNIUKLPEI-508-v109,PE,100,3.04,3.0362e+09,30393916,3.11,2.02,100.00,0.00,55.48,97.74,91.88,55.50,55.46,98.10,97.37,92.69,91.08
1,HUMRNIULNPEI-536-v109,PE,100,4.10,4.0937e+09,40978458,4.20,3.76,100.00,0.00,47.88,97.08,89.44,47.76,47.99,97.63,96.54,90.78,88.10
1,HUMRNIUKPPEI-512-v109,PE,100,2.35,2.3511e+09,23534844,2.41,6.78,100.00,0.00,49.63,97.15,89.71,49.53,49.73,97.52,96.77,90.54,88.87
1,HUMRNIULAPEI-523-v109,PE,100,0.46,4.6334e+08,4638032,0.48,2.27,100.00,0.00,50.27,96.59,88.31,50.17,50.38,97.42,95.75,90.21,86.41
1,HUMRNIUKNPEI-510-v109,PE,100,2.96,2.9614e+09,29643886,3.04,3.64,100.00,0.00,50.48,96.72,88.59,50.41,50.56,97.46,95.98,90.36,86.83
1,HUMRNIULSPEI-541-v109,PE,100,4.17,4.1670e+09,41711296,4.27,2.44,100.00,0.00,49.35,96.90,88.98,49.25,49.45,97.44,96.36,90.25,87.71
1,HUMRNIUKTPEI-516-v109,PE,100,3.03,3.0253e+09,30283666,3.10,2.41,100.00,0.00,50.62,97.00,89.52,50.56,50.67,97.59,96.42,90.85,88.19
1,HUMRNIUKWPEI-519-v109,PE,100,0.36,3.6288e+08,3632434,0.37,3.89,100.00,0.00,49.46,96.97,89.24,49.40,49.52,97.52,96.42,90.53,87.94
1,HUMRNIULJPEI-532-v109,PE,100,3.38,3.3720e+09,33754410,3.46,2.04,100.00,0.00,49.78,97.25,90.07,49.70,49.85,97.58,96.93,90.78,89.35
1,HUMRNIUKKPEI-507-v109,PE,100,0.42,4.1844e+08,4188750,0.43,3.37,100.00,0.00,49.35,97.38,90.41,49.36,49.35,97.81,96.94,91.46,89.37
1,HUMRNIULGPEI-529-v109,PE,100,0.39,3.9104e+08,3914284,0.40,3.71,100.00,0.00,49.51,96.84,88.85,49.41,49.62,97.48,96.19,90.40,87.29
1,HUMRNIUKZPEI-522-v109,PE,100,3.38,3.3761e+09,33795198,3.46,3.13,100.00,0.00,49.96,97.01,89.39,49.85,50.06,97.54,96.49,90.60,88.17
1,HUMRNIUKOPEI-511-v109,PE,100,0.00,2.7601e+06,27628,0.00,3.08,100.00,0.00,49.72,97.04,89.54,49.72,49.71,97.52,96.57,90.57,88.51
1,HUMRNIULLPEI-534-v109,PE,100,4.15,4.1423e+09,41467140,4.25,13.83,100.00,0.00,48.19,97.81,91.51,48.15,48.24,97.94,97.68,91.84,91.17
1,HUMRNIULUPEI-543-v109,PE,100,4.14,4.1316e+09,41358944,4.24,2.68,100.00,0.00,47.84,97.19,89.78,47.71,47.97,97.56,96.82,90.60,88.97
1,HUMRNIULTPEI-542-v109,PE,100,3.03,3.0285e+09,30314704,3.10,1.90,100.00,0.00,50.86,97.08,89.67,50.80,50.91,97.55,96.61,90.73,88.62
1,HUMRNIUKHPEI-504-v109,PE,100,4.51,4.5053e+09,45097854,4.62,1.86,100.00,0.00,53.30,97.48,90.97,53.29,53.31,97.95,97.00,92.06,89.88
1,HUMRNIUKXPEI-520-v109,PE,100,3.42,3.4199e+09,34233008,3.51,2.03,100.00,0.00,50.89,96.85,89.00,50.79,50.99,97.52,96.18,90.56,87.44
1,Total,PE,100,97.64,NA,976423328,100.00,NA,100.00,0.00,49.77,97.15,89.78,49.70,49.85,97.62,96.68,90.88,88.68
2,Undetermined,PE,100,4.87,NA,48678438,4.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,HUMRNIULDPEI-526-v109,PE,100,3.55,3.5498e+09,35526780,3.58,1.94,100.00,0.00,50.44,97.69,91.26,50.38,50.49,98.05,97.34,92.14,90.38
2,HUMRNIUKJPEI-506-v109,PE,100,3.50,3.4994e+09,35022430,3.53,2.37,100.00,0.00,51.16,97.26,90.02,51.06,51.25,97.82,96.71,91.39,88.65
2,HUMRNIULPPEI-538-v109,PE,100,3.76,3.7531e+09,37561446,3.79,1.27,100.00,0.00,49.19,97.35,90.04,49.14,49.25,97.64,97.05,90.73,89.36
2,HUMRNIUKIPEI-505-v109,PE,100,0.03,2.5908e+07,259298,0.03,2.20,100.00,0.00,50.93,97.84,91.75,50.95,50.91,98.08,97.60,92.29,91.20
2,HUMRNIUKQPEI-513-v109,PE,100,0.22,2.2073e+08,2209122,0.22,1.44,100.00,0.00,47.64,97.39,90.19,47.64,47.64,97.67,97.11,90.82,89.57
2,HUMRNIULIPEI-531-v109,PE,100,0.49,4.9319e+08,4935930,0.50,1.76,100.00,0.00,51.80,97.38,90.40,51.81,51.80,97.89,96.86,91.68,89.12
2,HUMRNIULRPEI-540-v109,PE,100,3.70,3.7001e+09,37031632,3.73,3.26,100.00,0.00,48.48,97.23,89.75,48.38,48.57,97.75,96.71,91.07,88.44
